ID,YearGroup_School,Hand,Sex,Date_of_test,Age_Cat,Reading_Level,Reading_converted,Writing_Level,Writing_converted,Copying_OE,Shape1_OE,Shape2_OE,Shape3_OE,Shape4_OE,Shape5_OE,Shape6_OE,Shape7_OE,Shape8_OE,Shape9_OE,OE_avg_simple,OE_avg_medium,OE_avg_hard,OE_avg_overall
1_3,2,Right,F,01/03/2012,6 to 7,2a,3,2b,3,6.34542,2.6059685,5.3811315,5.3680095,6.543762,3.7899725,6.756471,6.426706,9.2889185,3.9545265,2.6059685,5.92990225,5.947472125,5.568385111
1_4,2,Right,M,01/03/2012,6 to 7,2a,3,2b,3,5.345423,4.798491,7.2267255,5.233565,5.7888635,5.80119,7.596413,7.26019,9.009,6.9628475,4.798491,6.377336,7.342362625,6.6308095
1_5,2,Right,M,01/03/2012,6 to 7,3c,4,3,6,4.224927,3.4015195,5.4317835,3.945177,5.982927,4.5248435,10.0148885,9.0430895,6.8683535,6.9392015,3.4015195,6.10074425,7.08682175,6.239087056
1_6,2,Right,F,01/03/2012,6 to 7,3c,4,3,6,4.787393,4.52951,4.9537135,3.351611,6.0657215,4.934225,4.485606,5.7821285,5.9472955,5.0525735,4.52951,5.038293625,5.104925,5.011376056
1_8,2,Right,M,01/03/2012,6 to 7,2a,3,3,6,3.400789,3.71551,6.684037,2.9052055,5.00459,6.2722465,5.819957,8.460163,6.2401805,4.729986,3.71551,5.763498875,5.7655925,5.536875056
1_9,2,Right,M,01/03/2012,6 to 7,2b,2,2b,3,4.715922,4.4882685,9.865323,5.7654695,9.0888065,4.67568,10.686234,8.889006,6.9544375,3.7394925,4.4882685,8.40215125,6.513961,7.128079722
1_10,2,Right,F,01/03/2012,6 to 7,3c,4,2b,3,5.131829,2.608824,3.219648,6.993184,4.37073,3.725136,7.67876,4.697798,3.7559855,5.641421,2.608824,4.82034,5.200325625,4.7434985
1_11,4,Right,F,01/03/2012,8 to 9,4b,8,4c,8,1.417277,2.39202,4.253915,3.0115595,3.5979155,5.32982,3.7786505,3.401507,2.9406035,5.6168485,2.39202,3.56622425,4.416480625,3.813648833
1_12,4,Right,M,01/03/2012,8 to 9,4b +,9,2a,2,2.487931,2.342811,3.8438215,4.563696,3.075293,4.649865,4.952878,4.0117225,3.0351095,5.587123,2.342811,3.87363325,4.556243875,4.006924389
1_13,4,Right,M,01/03/2012,8 to 9,4a,10,2a,2,3.636463,3.129682,12.4317475,7.15032,4.8908475,5.69483,4.2298565,5.865674,5.7306935,8.0654185,3.129682,7.58464725,5.930199625,6.354341056
1_14,4,Right,M,01/03/2012,8 to 9,4b+,9,3c,7,4.298544,1.921138,2.668772,2.6371925,3.5559465,3.580124,5.3258885,4.5773285,4.6221575,5.196919,1.921138,3.359809875,4.68127225,3.787274056
1_15,4,Right,F,01/03/2012,8 to 9,4b+,9,4c,8,3.925527,2.9476595,3.4112935,6.012679,4.225869,2.9996015,4.7413135,3.4526755,4.318822,5.510234,2.9476595,4.27562925,4.39249275,4.180016389
1_16,4,Right,F,01/03/2012,8 to 9,4a,10,3a,5,4.34664,3.1614985,2.970593,3.358321,7.39956,7.329238,3.2915865,6.9258315,4.3830465,18.560188,3.1614985,5.163576375,8.39101475,6.375540333
1_17,6,Right,M,01/03/2012,10 to 11,5c,11,5,9,3.788426,3.3933085,4.5123615,2.553342,3.493617,3.50254,3.777616,6.757281,3.9983635,3.0914515,3.3933085,4.329150375,3.59249275,3.897764556
1_18,6,Right,F,01/03/2012,10 to 11,4a,10,4,8,3.020231,2.6446585,5.004589,4.673611,2.854077,4.90631,4.2566735,4.0808125,6.122542,5.5809815,2.6446585,4.153272375,5.21662675,4.458250556
1_19,6,Right,F,01/03/2012,10 to 11,5c,11,4,8,2.667453,3.610235,3.16408,2.5006115,7.151244,3.712102,5.8922915,6.549628,3.4067025,2.4652515,3.610235,4.841390875,3.869086875,4.272460667
1_20,6,Right,F,01/03/2012,10 to 11,5c,11,5,9,2.929775,2.1744195,3.055747,3.442385,2.88276,3.600712,3.483401,2.3128685,7.916969,2.673771,2.1744195,2.923440125,4.41871325,3.504781444
1_21,6,Right,F,01/03/2012,10 to 11,5c,11,4,8,2.277246,1.376875,2.611035,2.2893515,2.71452,3.257835,3.2212695,1.521492,2.1383175,3.6172275,1.376875,2.284099625,3.058662375,2.527547
1_22,6,Right,M,01/03/2012,10 to 11,4c,7,3,6,2.642579,4.7207995,7.8142405,8.0082985,4.08322,12.5910675,12.683012,5.983109,5.893422,6.0560155,4.7207995,6.472217,9.30587925,7.5370205
1_23,6,Left,M,01/03/2012,10 to 11,5a,14,5,9,1.705349,4.2686175,4.693593,4.2877755,4.1522855,5.4263425,4.903705,2.9041035,3.3417155,4.286608,4.2686175,4.009439375,4.48959275,4.251638444
2_1a,2,Right,F,01/03/2012,6 to 7,3c,4,3,6,2.183567,2.9010675,6.805659,3.185966,3.4517565,6.721248,2.9507765,4.3317015,4.6684565,5.014608,2.9010675,4.44377075,4.83877225,4.4479155
2_1b,2,Right,M,01/03/2012,6 to 7,3c,4,3,6,6.453374,2.612775,2.0057095,3.085257,3.3708585,4.684548,4.157897,3.0036765,3.742985,2.990484,2.612775,2.866375375,3.8939785,3.294910056
2_2a,2,Right,M,01/03/2012,6 to 7,2b,2,2c,4,3.857159,2.2660885,11.893836,15.4178625,7.094049,5.005292,6.4095215,13.012227,10.0868575,6.929222,2.2660885,11.85449363,7.10772325,8.679439556
2_2b,2,Right,M,01/03/2012,6 to 7,2a,3,2b,3,5.332908,6.7621985,3.6238595,10.533327,7.104488,6.4134205,12.5664205,11.3055655,7.4667085,16.1148955,6.7621985,8.14181,10.64036125,9.098987056
2_2c,2,Right,M,01/03/2012,6 to 7,2a,3,2b,3,3.168569,5.37599,9.619033,9.0615035,5.98744,12.2513005,7.2243335,5.0769765,9.7421505,11.916375,5.37599,7.43623825,10.28353988,8.472789167
2_3,2,Left,M,01/03/2012,6 to 7,3c,4,2a,2,4.79244,4.8578395,7.279318,7.049357,6.271385,5.8507185,4.012348,6.383162,5.0908935,5.7767155,4.8578395,6.7458055,5.182668875,5.841304111
2_4,2,Right,F,01/03/2012,6 to 7,3c,4,3,6,6.557759,2.69063,6.538923,4.572061,9.7058575,5.570133,3.5639345,6.9650675,7.2566635,4.225676,2.69063,6.94547725,5.15410175,5.676549556
2_5,2,Right,M,01/03/2012,6 to 7,3c,4,2a,2,2.412765,4.271421,8.1438725,7.227809,5.7450895,9.621065,8.796233,5.195073,5.4320625,15.9917325,4.271421,6.577961,9.96027325,7.824928667
2_6,2,Right,F,01/03/2012,6 to 7,2a,3,2b,3,4.164572,4.46321,6.651813,3.841495,3.7351235,5.8640395,7.644046,7.61753,4.7146305,5.47618,4.46321,5.461490375,5.924724,5.556451944
2_7,2,Right,M,01/03/2012,6 to 7,2c,1,1a,1,3.363078,3.309802,6.4859835,13.8605255,7.612686,5.587018,9.7319855,7.157422,8.169295,7.895256,3.309802,8.77915425,7.845888625,7.756663722
2_8,2,Right,F,01/03/2012,6 to 7,2b,2,2b,3,6.990428,8.3828695,12.706223,8.599112,8.6562375,18.0293135,13.342558,6.555325,6.4792965,11.8360075,8.3828695,9.129224375,12.42179388,10.50966028
2_9,4,Right,F,01/03/2012,8 to 9,4b+,9,3b,6,2.352111,2.916244,3.9449695,2.600536,3.7017235,4.0882865,3.1203785,3.9243275,7.913677,4.22887,2.916244,3.542889125,4.837803,4.048779167
2_10,4,Right,F,01/03/2012,8 to 9,4b+,9,3b,6,2.014327,3.403701,2.289109,3.7648185,3.7642335,2.8980795,5.5274955,3.6497565,6.28162,4.601231,3.403701,3.366979375,4.8271065,4.020004944
2_11,4,Right,M,01/03/2012,8 to 9,4c,7,2a,2,1.671243,3.647428,5.0770735,4.5677135,5.789397,2.577578,4.604585,6.077535,4.198568,4.1186395,3.647428,5.37792975,3.874842625,4.517613056
2_12,4,Right,F,01/03/2012,8 to 9,3a,6,2a,2,2.327762,4.0543995,9.0592195,2.370733,5.137962,3.8360285,3.2096875,3.6237905,1.97685,4.3016605,4.0543995,5.04792625,3.331056625,4.174481222
2_13,4,Right,F,01/03/2012,8 to 9,4b+,9,4c,8,4.325955,2.803974,3.4104105,5.948902,6.3780545,3.475669,12.137143,6.7159215,5.4945395,4.9480175,2.803974,5.613322125,6.51384225,5.7014035
2_14,4,Right,F,01/03/2012,8 to 9,4b+,9,4c,8,2.373773,2.916705,4.0145845,4.995776,7.544327,4.484944,8.72498,5.5828585,5.4106615,4.5176105,2.916705,5.5343865,5.784549,5.354716333
2_15,4,Right,F,01/03/2012,8 to 9,4b+,9,3c,7,2.258338,2.759402,3.287681,6.062484,4.4694755,5.6650495,7.627738,4.3162375,5.91903,6.143279,2.759402,4.5339695,6.338774125,5.138930722
2_16,6,Right,M,01/03/2012,10 to 11,5c,11,5,9,3.127111,3.986123,6.6635255,4.5289805,3.3009325,2.8163555,3.3839235,4.1575,4.143558,5.3963235,3.986123,4.662734625,3.935040125,4.264135778
2_17,6,Right,F,01/03/2012,10 to 11,4c,7,4,8,3.850243,2.528005,3.2543845,3.408781,4.8341185,3.9371725,5.3744875,2.9926535,2.5265165,3.200711,2.528005,3.622484375,3.759721875,3.56187
2_18,6,Right,M,01/03/2012,10 to 11,5a,14,5,9,2.034256,2.3792555,1.606089,2.7602205,3.740161,3.845878,3.5007745,2.8079525,3.4918905,3.552244,2.3792555,2.72860575,3.59769675,3.076051722
2_19,6,Right,F,01/03/2012,10 to 11,4c,7,4,8,2.183294,2.490542,4.988098,10.8271755,6.144101,4.2920235,9.398308,5.514333,6.9931505,6.0637035,2.490542,6.868426875,6.686796375,6.301270556
2_20,6,Right,M,01/03/2012,10 to 11,3a,6,3,6,4.229588,3.339291,3.6098385,3.6509045,4.060178,4.477302,8.5640965,3.9137075,4.172901,9.780403,3.339291,3.808657125,6.748675625,5.063180222
2_21,6,Right,M,01/03/2012,10 to 11,5c,11,4,8,2.286541,2.0265885,2.842854,4.22937,5.058325,3.666943,7.494482,3.4658755,4.613881,3.6731765,2.0265885,3.899106125,4.862120625,4.119055056
2_22,6,Right,F,01/03/2012,10 to 11,4b,8,4,8,2.267154,2.34012,3.5937675,4.345464,7.327731,3.2313885,4.3209295,4.001258,3.890051,3.028139,2.34012,4.817055125,3.617627,4.008760944
3_1,2,missing,M,01/03/2012,6 to 7,3c,4,3,6,8.266705,4.420503,6.0941075,6.0173035,5.824311,7.5687405,3.433269,9.6376125,7.6635455,3.968407,4.420503,6.893333625,5.6584905,6.0697555
3_2,2,Right,M,01/03/2012,6 to 7,3c,4,2a,2,3.815542,5.1866675,11.5330365,6.427057,7.2173735,6.9532455,8.517347,7.0899075,4.728085,5.2754985,5.1866675,8.066843625,6.368544,6.992024222
3_3,2,Right,M,01/03/2012,6 to 7,3c,4,2a,2,6.166568,5.7951145,4.339742,4.994276,9.84143,7.468567,7.5397555,8.302351,8.4985505,5.3735985,5.7951145,6.86944975,7.220117875,6.905931667
3_4,2,Right,F,01/03/2012,6 to 7,2b,2,2b,3,3.418614,5.018594,3.608551,4.8628755,9.587651,8.31557,12.2188105,6.761546,7.7683315,4.5075,5.018594,6.205155875,8.202553,6.961047722
3_5,2,Right,F,01/03/2012,6 to 7,2c,1,2c,4,2.592593,2.9559785,6.4417825,4.089124,4.185967,2.8241925,5.295975,6.2697515,6.4046965,6.237793,2.9559785,5.24665625,5.19066425,4.967251167
3_6,2,Right,M,01/03/2012,6 to 7,2b,2,2c,4,4.305614,2.987629,6.6017805,5.6254895,4.3143225,5.5684935,5.772907,7.69442,6.6696015,5.854617,2.987629,6.059003125,5.96640475,5.6765845
3_7,4,Right,F,01/03/2012,8 to 9,4c,7,3a,5,2.422078,3.953444,5.0089005,7.8066765,4.6503125,6.731547,7.888107,5.354988,4.701594,6.5648725,3.953444,5.705219375,6.471530125,5.851160222
3_8,4,Right,M,01/03/2012,8 to 9,4b+,9,4c,8,1.845428,3.459528,5.6944215,8.3751405,3.375393,4.3717435,2.673368,5.600041,4.126169,9.239734,3.459528,5.761249,5.102753625,5.212837611
3_9,4,Right,F,01/03/2012,8 to 9,4c,7,2a,2,3.501941,1.871578,4.9410975,3.652994,6.101699,4.7052805,5.005402,3.2794155,3.8185465,8.3894275,1.871578,4.4938015,5.479664125,4.6406045
3_10,4,Right,F,01/03/2012,8 to 9,4c,7,2a,2,3.71566,2.694964,3.562515,5.8767835,5.6273185,4.78325,4.928165,7.35403,5.717013,5.3331345,2.694964,5.60516175,5.190390625,5.097463722
3_11,4,Right,F,01/03/2012,8 to 9,4b+,9,4c,8,3.75826,2.495773,3.2945395,3.655161,8.120205,3.953436,4.920588,4.9576105,5.8589215,2.5658975,2.495773,5.006879,4.32471075,4.424681333
3_12,4,Left,F,01/03/2012,8 to 9,4b+,9,4c,8,2.145141,2.1094865,3.9560125,3.1056595,3.4791475,4.953765,4.7506545,3.245251,5.8938745,4.017472,2.1094865,3.446517625,4.9039415,3.945702556
3_13,4,Right,F,01/03/2012,8 to 9,4b+,9,3a,5,2.787996,2.8765145,9.4170445,5.7328785,3.8955045,5.998968,4.138595,4.54288,8.502239,6.7205205,2.8765145,5.897076875,6.340080625,5.758349389
3_14,6,Left,M,01/03/2012,10 to 11,5b+,13,5,9,2.111365,2.230978,2.130742,3.370927,3.718955,4.712368,3.559062,3.8278215,5.097746,3.567157,2.230978,3.262111375,4.23408325,3.5795285
3_15,6,Right,F,01/03/2012,10 to 11,4b,8,4,8,3.390196,2.837935,2.0968155,3.9984125,1.925652,3.8268165,3.301776,4.288741,3.021907,3.4136005,2.837935,3.07740525,3.391025,3.190184
3_16,6,Right,M,01/03/2012,10 to 11,5a,14,6,10,4.670245,2.996698,3.5655985,3.405168,4.885094,3.536032,3.5874915,2.945721,6.2328835,2.400958,2.996698,3.700395375,3.93934125,3.728404944
3_17,6,Right,M,01/03/2012,10 to 11,5a,14,5,9,2.941467,1.876216,4.486565,2.9527465,2.9384845,4.2914165,4.403869,7.05999,5.832053,2.5048995,1.876216,4.3594465,4.2580595,4.038471111
3_18,6,Right,F,01/03/2012,10 to 11,5b,12,4,8,2.52754,3.45633,4.633096,2.429959,3.6544355,6.213275,2.8535835,4.184226,2.628766,2.069601,3.45633,3.725429125,3.441306375,3.569252444
3_19,6,Right,M,01/03/2012,10 to 11,4a,10,4,8,2.267055,3.5546865,5.974586,3.748037,3.969764,4.8721965,3.7593545,5.974141,5.162238,5.6181065,3.5546865,4.916632,4.852973875,4.737012222
3_20,6,Right,M,01/03/2012,10 to 11,5b,12,5,9,2.243779,2.9539425,3.9065215,4.1250055,3.99002,6.70232,4.439303,6.2654495,5.2514665,6.969453,2.9539425,4.571749125,5.840635625,4.955942389
4_1,2,Right,F,01/03/2012,6 to 7,3c,4,3,6,4.121487,2.620724,4.775721,5.1280285,4.342787,3.219551,4.970333,4.8792105,4.1358695,3.4608415,2.620724,4.78143675,3.94664875,4.170340667
4_2,2,Right,F,01/03/2012,6 to 7,3c,4,3,6,3.153209,5.6821725,7.6210375,14.256493,7.8007505,5.262831,6.619156,2.6083825,5.369237,2.9690055,5.6821725,8.071665875,5.055057375,6.465451722
4_3a,2,Right,M,01/03/2012,6 to 7,2c,1,2c,4,5.54036,7.3117355,8.171139,7.047155,9.825018,8.806441,11.6452425,5.284492,10.0423765,7.556602,7.3117355,7.581951,9.5126655,8.410022389
4_3b,2,Right,F,01/03/2012,6 to 7,2b,2,2b,3,2.976649,2.200055,4.525288,4.493876,3.00515,4.297361,8.2853695,6.971541,3.5372755,6.0272475,2.200055,4.74896375,5.536813375,4.815907056
4_4,2,Left,M,01/03/2012,6 to 7,2a,3,2b,3,3.194543,6.2223355,5.320848,4.490869,6.500524,8.174482,10.6329215,5.467046,5.82228,6.629546,6.2223355,5.44482175,7.814807375,6.584539111
4_5,2,Right,M,01/03/2012,6 to 7,2a,3,2b,3,11.015714,2.9179495,14.000688,4.121344,6.804593,6.7848425,7.2084005,5.886142,5.472779,15.3456215,2.9179495,7.70319175,8.702910875,7.615817778
4_6,2,missing,M,01/03/2012,6 to 7,3c,4,2a,2,3.334837,2.708768,5.3746,3.7275055,6.275427,4.6195855,5.3761105,6.3536105,6.034617,8.022832,2.708768,5.43278575,6.01328625,5.388117333
4_7,2,missing,M,01/03/2012,6 to 7,3c,4,2b,3,4.831522,5.0905435,9.623114,5.126369,6.6719895,8.217817,10.62801,11.2891795,6.987438,11.1953965,5.0905435,8.177663,9.257165375,8.314428556
4_8,2,Right,M,01/03/2012,6 to 7,2c,1,1,1,8.186392,4.787464,11.979221,9.459509,12.564936,10.8649845,13.3634145,14.352815,10.843306,10.469281,4.787464,12.08912025,11.3852465,10.96499233
4_9,4,Right,F,01/03/2012,8 to 9,3a,6,3b,6,2.257077,5.309165,5.0487435,6.614678,7.4353235,3.3616845,4.1574005,5.323478,4.207643,3.753129,5.309165,6.10555575,3.86996425,5.023471667
4_10,4,Right,M,01/03/2012,8 to 9,4b+,9,3c,7,4.209278,5.3099495,9.9016985,8.346592,3.1059645,9.838625,7.521738,6.0543145,3.70477,6.642149,5.3099495,6.852142375,6.9268205,6.713977889
4_11,4,Left,F,01/03/2012,8 to 9,3b,5,2a,2,5.505406,2.6400995,6.914968,3.7620065,6.8409535,11.9322085,7.226723,4.6328865,5.930739,4.272263,2.6400995,5.537703625,7.340483375,6.016983056
4_12,4,Right,F,01/03/2012,8 to 9,4c,7,3c,7,4.1671,8.64322,5.537977,4.3506155,9.986215,5.7806885,8.348028,11.1227095,8.802623,5.709403,8.64322,7.74937925,7.160185625,7.586831056
4_13,4,Right,M,01/03/2012,8 to 9,4a,10,3b,6,2.224051,2.7502295,3.1674665,9.1103245,3.584704,5.0906895,7.0741855,7.345826,2.843454,2.756732,2.7502295,5.80208025,4.44126525,4.858179056
4_14,4,Right,F,01/03/2012,8 to 9,4a,10,3b,6,2.399084,3.8430965,3.146111,3.9307225,3.515391,3.1090575,4.8141925,8.4320415,6.5642055,5.6421985,3.8430965,4.7560665,5.0324135,4.777446278
4_15,4,Right,M,01/03/2012,8 to 9,3b,5,2a,2,3.960012,2.4082565,6.588432,4.339699,2.981771,4.5211395,7.4579565,3.3763925,4.9415935,3.9633675,2.4082565,4.321573625,5.22101425,4.508734222
4_16,6,Right,M,01/03/2012,10 to 11,5c,11,4,8,1.655061,2.4416955,4.4459765,2.231116,3.5667025,5.51094,3.7039935,6.8884995,3.9178085,8.149878,2.4416955,4.283073625,5.320655,4.539623333
4_17,6,Right,F,01/03/2012,10 to 11,5b,12,5,9,2.120746,2.117443,3.4461415,2.2552595,3.270033,2.2125965,2.7380305,2.5999065,10.813088,3.183311,2.117443,2.892835125,4.7367565,3.626201056
4_18,6,Right,M,01/03/2012,10 to 11,5c,11,4,8,2.196022,2.229028,5.366204,3.8699055,4.965737,5.817465,2.7282005,3.466857,5.3466615,5.5429665,2.229028,4.417175875,4.858823375,4.370336111
